,track_name,track_artists,artist_genres,artist_popularity,track_album,track_duration,album_release:yyyy,album_release:mm,album_release:dd,artist_image,track_image,added_by,added_at,track_id,embed_src
0,Wild Side,['ALI'],['japanese soul'],[62],Wild Side,2.6416666666666666,2019,11,27,['https://i.scdn.co/image/ab67616100005174c713a7d7a7d1270a48f7d381'],https://i.scdn.co/image/ab67616d00001e028f29493cbe670ee51abd8b36,Daniel Xenes,2022-02-17T17:04:11Z,2RSPQJ483jRL1KNtMuKqgh,https://open.spotify.com/embed/track/2RSPQJ483jRL1KNtMuKqgh
1,Stolen Dance,['Milky Chance'],"['german pop', 'modern rock']",[73],Sadnecessary,5.228066666666667,2014,06,20,['https://i.scdn.co/image/ab676161000051740666873adfe0ae1ce2a746a9'],https://i.scdn.co/image/ab67616d00001e02b5d4730e54f84c66c70fe60a,Daniel Xenes,2022-02-17T17:10:07Z,6vECYJHxYmm3Ydt3fF01pE,https://open.spotify.com/embed/track/6vECYJHxYmm3Ydt3fF01pE
2,Best Friend (feat. Doja Cat),"['Saweetie', 'Doja Cat']","['cali rap', 'dance pop', 'pop', 'pop rap', 'r&b', 'trap queen', 'dance pop', 'pop']","[81, 94]",Best Friend (feat. Doja Cat),2.59805,2021,01,07,"['https://i.scdn.co/image/ab6761610000517408508fea5d4e92cf4d221834', 'https://i.scdn.co/image/ab67616100005174727a2ac15afe659be999beba']",https://i.scdn.co/image/ab67616d00001e029aeed9bbffaac4c99cc4c4d9,Daniel Xenes,2022-02-17T17:04:51Z,2etHQJxIbV0soyPhelVs9Y,https://open.spotify.com/embed/track/2etHQJxIbV0soyPhelVs9Y
3,Ultimatum,"['Disclosure', 'Fatoumata Diawara']","['edm', 'house', 'pop', 'uk dance', 'afropop', 'desert blues', 'malian blues', 'mande pop', 'wassoulou', 'world']","[78, 59]",Ultimatum,5.468333333333334,2018,05,17,"['https://i.scdn.co/image/ab67616100005174db837f585ebd024a0221a814', 'https://i.scdn.co/image/ab67616100005174b1dfd8cbc741215dddcc523a']",https://i.scdn.co/image/ab67616d00001e02f23789ae07046cb71d4fb7f1,Hannah Gooden,2022-02-18T01:25:00Z,6MG2wRqClZh0JZ6i8hNMIV,https://open.spotify.com/embed/track/6MG2wRqClZh0JZ6i8hNMIV
4,Blue World,['Mac Miller'],"['hip hop', 'pittsburgh rap', 'rap']",[88],Circles,3.490666666666667,2020,01,17,['https://i.scdn.co/image/ab67616100005174ed3b89aa602145fde71a163a'],https://i.scdn.co/image/ab67616d00001e0226b7dd89810cc1a40ada642c,Hannah Gooden,2022-02-18T01:25:24Z,2hwOoMtWPtTSSn6WHV7Vp5,https://open.spotify.com/embed/track/2hwOoMtWPtTSSn6WHV7Vp5
5,Desecration Smile,['Red Hot Chili Peppers'],"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",[86],Stadium Arcadium,5.0271,2006,05,09,['https://i.scdn.co/image/ab67616100005174b0dd96d5c6fcd8b068834373'],https://i.scdn.co/image/ab67616d00001e0209fd83d32aee93dceba78517,Hannah Gooden,2022-02-18T01:25:37Z,0GRvnYqlnh7ttq9NS6s3Ta,https://open.spotify.com/embed/track/0GRvnYqlnh7ttq9NS6s3Ta
6,Carrousel,['Peter Peter'],['indie quebecois'],[28],Une Version Améliorée De La Tristesse,3.69405,2012,08,28,['https://i.scdn.co/image/ab67616100005174a5abf54af88c1a2f46d03230'],https://i.scdn.co/image/ab67616d00001e02ef64b552a575f9f53fda01ab,Tori,2022-02-18T04:34:08Z,6DRAnHhx4tl30oSWaTYknw,https://open.spotify.com/embed/track/6DRAnHhx4tl30oSWaTYknw
7,Emmylou,['First Aid Kit'],"['stomp and holler', 'swedish americana', 'swedish country']",[64],The Lion's Roar,4.3,2012,01,24,['https://i.scdn.co/image/ab676161000051744d2f80ceffc6c70a432ccd7c'],https://i.scdn.co/image/ab67616d00001e027ee95c166447d641513692fc,Tori,2022-02-18T04:35:58Z,5yQrOvXWli8C7R6j56rowR,https://open.spotify.com/embed/track/5yQrOvXWli8C7R6j56rowR
8,The Spins,['Mac Miller'],"['hip hop', 'pittsburgh rap', 'rap']",[88],K.I.D.S.,3.26455,2010,08,13,['https://i.scdn.co/image/ab67616100005174ed3b89aa602145fde71a163a'],https://i.scdn.co/image/ab67616d00001e0250570144b4a9a459406f9a3d,Tori,2022-02-18T13:29:04Z,51pshtuYkgUQnt5huMPbKL,https://open.spotify.com/embed/track/51pshtuYkgUQnt5huMPbKL
9,Dopamine,['Franc Moody'],"['indie soul', 'new french touch', 'nu disco']",[59],Dopamine,4.06575,2017,02,15,['https://i.scdn.co/image/ab676161000051747461c229723b6a0f042ae935'],https://i.scdn.co/image/ab67616d00001e02d93ada21b5d20f6fa100aa68,Raphael Norman-Tenazas,2022-02-18T12:37:26Z,2MTSo2SGQ0oVKgPu99x3Df,https://open.spotify.com/embed/track/2MTSo2SGQ0oVKgPu99x3Df
